mid_date, v [m/yr], satellite, dt (days)
2021-05-19T18:49:19.000Z,974, Sentinel 2, 30 
2019-07-30T07:00:10.000Z,955, Sentinel 2, 105 
2020-02-21T18:39:59.000Z,913, Sentinel 2, 310 
2020-08-14T06:30:19.999Z,648, Sentinel 2, 85 
2020-01-03T06:49:25.000Z,828, Sentinel 2, 285 
2016-09-03T18:20:07.000Z,602, Sentinel 2, 40 
2020-07-19T06:59:19.999Z,876, Sentinel 2, 15 
2018-12-08T06:29:25.000Z,1205, Sentinel 2, 325 
2022-06-17T06:19:25.000Z,1531, Sentinel 2, 5 
2022-05-18T06:19:20.000Z,1325, Sentinel 2, 5 
2019-02-07T18:09:21.000Z,1204, Sentinel 2, 340 
2019-11-27T06:59:25.000Z,882, Sentinel 2, 345 
2017-07-10T18:19:21.000Z,1092, Sentinel 2, 100 
2016-12-29T18:10:36.500Z,890, Sentinel 2, 180 
2018-06-25T06:09:15.000Z,1230, Sentinel 2, 135 
2019-06-12T18:59:21.000Z,1229, Sentinel 2, 40 
2019-05-19T18:29:24.000Z,1218, Sentinel 2, 80 
2017-03-27T18:19:51.000Z,1129, Sentinel 2, 10 
2018-12-28T06:29:15.000Z,1184, Sentinel 2, 255 
2022-06-22T07:09:24.999Z,1254, Sentinel 2, 5 
2018-06-30T06:09:54.999Z,1205, Sentinel 2, 165 
2019-11-22T06:59:19.999Z,895, Sentinel 2, 365 
2022-05-02T18:59:21.000Z,1235, Sentinel 2, 10 
2019-01-18T19:00:09.000Z,1189, Sentinel 2, 240 
2018-04-21T18:20:11.000Z,1217, Sentinel 2, 70 
2021-05-29T18:49:19.000Z,975, Sentinel 2, 10 
2018-08-14T06:10:29.999Z,1181, Sentinel 2, 95 
2019-05-14T06:19:25.000Z,1196, Sentinel 2, 15 
2018-07-26T06:30:00.000Z,1200, Sentinel 2, 115 
2019-07-05T18:19:29.000Z,1079, Sentinel 2, 120 
2018-03-22T22:19:48.803Z,1439, Sentinel 1, 6 
2019-07-04T18:49:21.000Z,1232, Sentinel 2, 50 
2018-12-12T18:19:26.000Z,1207, Sentinel 2, 400 
2019-07-19T06:39:25.000Z,1211, Sentinel 2, 15 
2019-07-02T18:09:24.000Z,1133, Sentinel 2, 100 
2020-08-21T06:19:25.000Z,552, Sentinel 2, 25 
2021-06-17T18:29:21.000Z,1092, Sentinel 2, 30 
2017-06-26T18:39:21.000Z,1251, Sentinel 2, 40 
2019-07-01T06:29:25.000Z,1457, Sentinel 2, 5 
2018-06-06T18:39:21.000Z,1252, Sentinel 2, 30 
2020-08-21T18:29:46.000Z,505, Sentinel 2, 50 
2019-06-09T06:39:25.000Z,1227, Sentinel 2, 45 
2010-07-11T06:17:02.401Z,922, Landsat 7, 57 
2018-05-20T18:49:19.000Z,1253, Sentinel 2, 80 
2019-02-07T18:59:19.000Z,1191, Sentinel 2, 340 
2018-08-09T18:19:43.999Z,1172, Sentinel 2, 80 
2018-11-27T06:09:25.000Z,1208, Sentinel 2, 335 
2018-08-22T18:31:21.000Z,1170, Sentinel 2, 70 
2020-06-26T18:59:21.000Z,1144, Sentinel 2, 60 
2018-04-23T18:09:19.000Z,1224, Sentinel 2, 30 
2020-01-31T18:19:26.000Z,881, Sentinel 2, 350 
2020-06-19T06:09:20.000Z,1225, Sentinel 2, 45 
2019-01-12T18:39:59.000Z,1194, Sentinel 2, 340 
2019-07-22T19:00:06.000Z,965, Sentinel 2, 120 
2017-02-02T18:10:31.500Z,949, Sentinel 2, 250 
2016-06-01T18:39:22.000Z,1239, Sentinel 2, 20 
2019-01-15T06:39:55.000Z,1197, Sentinel 2, 345 
2019-11-21T18:49:24.000Z,907, Sentinel 2, 380 
2021-07-25T18:39:19.000Z,1038, Sentinel 2, 90 
2019-05-29T06:19:25.000Z,1179, Sentinel 2, 55 
2019-07-13T06:19:55.000Z,1014, Sentinel 2, 135 
2020-08-13T19:09:19.000Z,551, Sentinel 2, 40 
2018-04-16T18:20:46.000Z,1202, Sentinel 2, 60 
2021-07-24T18:19:21.000Z,1108, Sentinel 2, 70 
2020-06-15T06:29:20.000Z,1224, Sentinel 2, 45 
2020-02-21T18:39:41.000Z,904, Sentinel 2, 320 
2020-06-01T06:49:20.000Z,1175, Sentinel 2, 5 
2020-07-27T18:29:24.000Z,801, Sentinel 2, 90 
2018-08-06T18:59:14.000Z,1212, Sentinel 2, 50 
2019-08-12T06:20:14.999Z,882, Sentinel 2, 85 
2020-01-07T06:29:20.000Z,827, Sentinel 2, 255 
2020-06-24T06:59:19.999Z,1175, Sentinel 2, 55 
2019-02-19T18:49:19.000Z,1212, Sentinel 2, 330 
2020-07-18T18:49:19.000Z,902, Sentinel 2, 20 
2019-07-13T18:29:24.000Z,1088, Sentinel 2, 90 
2020-07-16T06:49:20.000Z,922, Sentinel 2, 75 
2020-08-25T06:49:20.000Z,316, Sentinel 2, 5 
2020-07-18T18:49:19.000Z,932, Sentinel 2, 40 
2018-04-13T06:49:20.000Z,1203, Sentinel 2, 5 
2018-06-02T18:09:21.000Z,1250, Sentinel 2, 40 
2018-06-27T18:09:56.000Z,1206, Sentinel 2, 170 
2016-07-13T18:29:47.000Z,947, Sentinel 2, 130 
2008-01-16T18:05:24.402Z,516, Landsat 7, 352 
2002-06-27T17:45:54.032Z,378, Landsat 7, 48 
2010-07-05T06:04:41.356Z,1103, Landsat 7, 41 
2007-07-13T06:02:54.373Z,594, Landsat 7, 27 
2018-11-13T12:42:31.325Z,1190, Sentinel 1, 12 
2022-05-30T06:59:25.000Z,1270, Sentinel 2, 35 
2021-06-14T06:59:19.999Z,1083, Sentinel 2, 45 
2022-06-29T19:09:19.000Z,1395, Sentinel 2, 10 
2019-09-01T06:20:10.000Z,639, Sentinel 2, 45 
2017-04-29T18:29:21.000Z,1129, Sentinel 2, 30 
2017-06-15T18:19:21.000Z,1069, Sentinel 2, 150 
2018-07-26T06:29:15.000Z,1259, Sentinel 2, 55 
2017-08-16T06:50:25.000Z,1012, Sentinel 2, 85 
2019-08-10T18:39:41.000Z,863, Sentinel 2, 70 
2019-08-11T06:49:25.000Z,958, Sentinel 2, 5 
2022-06-16T06:49:25.000Z,1235, Sentinel 2, 15 
2018-05-21T18:19:19.000Z,1251, Sentinel 2, 80 
2020-07-14T18:19:31.000Z,1014, Sentinel 2, 40 
2014-06-09T18:12:59.529Z,1152, Landsat 7, 96 
2020-01-14T06:19:30.000Z,840, Sentinel 2, 305 
2019-05-23T18:09:21.000Z,1192, Sentinel 2, 10 
2019-01-31T06:09:20.000Z,1199, Sentinel 2, 305 
2019-07-05T06:09:20.000Z,1122, Sentinel 2, 95 
2018-12-24T18:59:23.999Z,1192, Sentinel 2, 330 
2021-07-19T18:19:19.000Z,1131, Sentinel 2, 70 
2018-11-14T06:49:25.000Z,1201, Sentinel 2, 345 
2017-08-13T06:39:20.000Z,826, Sentinel 2, 15 
2019-06-20T06:09:25.000Z,1207, Sentinel 2, 75 
2021-08-01T07:09:24.999Z,1019, Sentinel 2, 95 
2022-07-22T06:19:25.000Z,1003, Sentinel 2, 5 
2020-02-13T06:20:14.999Z,907, Sentinel 2, 285 
2018-11-04T18:09:31.000Z,1208, Sentinel 2, 290 
2017-05-28T18:09:21.000Z,1183, Sentinel 2, 40 
2020-07-11T18:09:19.000Z,1009, Sentinel 2, 50 
2020-07-18T06:39:20.000Z,897, Sentinel 2, 15 
2021-06-07T06:19:20.000Z,918, Sentinel 2, 5 
2021-05-29T18:49:21.000Z,1024, Sentinel 2, 40 
2022-07-16T18:09:26.000Z,1326, Sentinel 2, 30 
2019-05-01T07:00:00.000Z,1207, Sentinel 2, 75 
2019-08-22T18:29:24.000Z,776, Sentinel 2, 10 
2018-07-30T06:59:15.000Z,1212, Sentinel 2, 65 
2018-04-27T06:30:00.000Z,1235, Sentinel 2, 75 
2019-11-10T18:29:21.000Z,908, Sentinel 2, 380 
2019-05-05T18:49:30.999Z,1214, Sentinel 2, 70 
2018-11-27T06:09:20.000Z,1213, Sentinel 2, 345 
2019-01-27T18:39:59.000Z,1209, Sentinel 2, 370 
2019-08-21T06:49:25.000Z,766, Sentinel 2, 35 
2020-07-25T06:29:20.000Z,722, Sentinel 2, 5 
2019-08-02T07:09:15.000Z,993, Sentinel 2, 65 
2019-01-31T06:59:15.000Z,1185, Sentinel 2, 305 
2018-07-16T18:39:21.000Z,1216, Sentinel 2, 110 
2021-06-30T18:39:21.000Z,1150, Sentinel 2, 10 
2019-07-07T18:09:21.000Z,1421, Sentinel 2, 20 
2017-03-05T06:20:05.499Z,971, Sentinel 2, 325 
2018-12-21T18:49:26.000Z,1202, Sentinel 2, 340 
2020-07-28T18:49:21.000Z,788, Sentinel 2, 70 
